brand,model_name,asset_id
OEM,OEM Wheels,1
HRE,441R,2
BBS,CH-R,3
Drifz,520B Prodrift,4
ICW Racing,004S Odessa,5
OEM,OEM Wheels (Corvette),6
OEM,OEM Wheels (Ford GT?),7
HRE,547R,8
BBS,LM Silver,9
Drifz,505B NOS,10
ICW Racing,201MS,11
HRE,C21 Polished,12
BBS,RG-R Silver,13
Drifz,202 MS Jade,14
ICW Racing,830MB,15
Drifz,506B Venom,16
Drifz,506H Venom,17
HRE,C22 Polished,18
ICW Racing,007MB,19
OEM,OEM Wheels (Scion),20
HRE,560 Black/Red,21
Cragar,Classic 0861 SS,22
Team Dynamics,Jade-R,23
Drifz,511B,24
ICW Racing,204MB,25
Maas,550C,26
Maas,551C,27
OEM,TRD RS 5.0 (LE - Scion tC 05 only),28
OEM,OEM Wheels (Duplicate?),29
OEM,Acura NSX Race Edition OEM (LE),30
HRE,C21 Gold,31
OEM,TRD Scion tC (LE),32
OEM,Nissan GTR R35 OEM,33
Wald,11C,34
Maas,Modular 551 Monaco,35
Drifz,207MB,36
OEM,WD-40 Camaro Gold + Tourney (Top 10),37
BBS,LM Gold,38
Konig,14MB,39
Konig,Retrack,40
OEM,TireBuyer R34 Stock + Tourney (Top 10),41
BBS,RG-R Black,42
Drifz,207B,43
HRE,565 Gold,44
HRE,C22 Black,45
Cragar,441 Chrome,46
Advanti Racing,A2 Traktion Charcoal,47
Cragar,Series 32,48
Konig,16MB Lace,49
Advanti Racing,Marichi,50
Pacer,521P,51
BBS,LM Black/Red (LE CC Rewards),52
OEM,Mazda Furai OEM (VIP only),53
Weld,Draglite,54
Drifz,301B,55
ICW Racing,209MB,56
Cragar,391C,57
OEM,OEM Wheels ZR1,58
OEM,OEM Wheels ZR1 Black,59
OEM,OEM Wheels ZR1 Chrome,60
OEM,WD-40 Camaro Blue Stock + Tourney (Top 10),61
OEM,IVD Challenger + IVD 240SX Stock + Tourney (Top 10),62
BBS,RZ Black,63
Volk Racing,TE37 White,64
